Serial_Number,Stock_Symbol_Name
296,INDIA SHELTE FIN
297,Peria Kara. Tea
298,DJ Mediaprint
299,Indogulf Cropsci
300,Weizmann
301,Confidence Petro
302,Bharat Seats
303,Brooks Lab.
304,Tasty Bite Eat.
305,Zeal Aqua
306,Sai Silks
307,Krishana Phosch.
308,Rajputana Indu.
309,Techno Elec.Engg
310,Mamata Machinery
311,Bhageria Indust.
312,Capri Global
313,Ritco Logistics
314,Kwality Pharma
315,Active Clothing
316,GE Vernova T&D
317,Apex Frozen Food
318,Austin Engg Co
319,Goldiam Intl.
320,Navin Fluo.Intl.
321,Plaza Wires
322,Coastal Corporat
323,Indo Rama Synth.
324,Highway Infra
325,NACL Industries
326,Steelcast
327,Orient Green
328,Shaily Engineer.
329,Mazda
330,Laxmi India Fin.
331,Signpost India
332,Saven Tech.
333,Oswal Pumps
334,NESCO
335,Softtech Enginee
336,Manba Finance
337,Azad Engineering
338,Arvind SmartSp.
339,Godfrey Phillips
340,Pondy Oxides
341,Modern Insulator
342,Adani Green
343,Denta Water
344,National Fitting
345,Variman Global
346,TD Power Systems
347,Astrazeneca Phar
348,Lumax Auto Tech.
349,Kanpur Plastipa.
350,U P Hotels
351,Diana Tea Co
352,KJMC Financial
353,Dishman Carbogen
354,Diamond Power
355,Home First Finan
356,Bonlon Industrie
357,Kalpataru Proj.
358,Hariom Pipe
359,Syncom Formul.
360,Valiant Commun.
361,Nath Industries
362,Systematix Corp.
363,Tara Chand Infra
364,Shri Keshav
365,Bharat Rasayan
366,Kaynes Tech
367,Aarvi Encon
368,Ganesh Infra.
369,Ajmera Realty
370,PB Fintech.
371,Indl. Inv. Trust
372,Natl. Aluminium
373,Uttam Sug.Mills
374,Sobha
375,Balu Forge
376,Oceanic Foods
377,Radico Khaitan
378,Divgi Torq
379,Summit Securitie
380,KRBL
381,Crown Lifters
382,Latent View
383,Punjab Chemicals
384,NCL Res. & Finl.
385,Tera Software
386,Aptus Value Hou.
387,Bhagyanagar Ind
388,Kalyan Jewellers
389,Zaggle Prepaid
390,Max Healthcare
391,Laurus Labs
392,Oriental Hotels
393,Sellwin Traders
394,Nila Spaces
395,Sh.Pushkar Chem.
396,R&B Denims
397,Shera Energy
398,Tilaknagar Inds.
399,VIP Clothing
400,SBFC Finance
401,Sumit Woods
402,Gulshan Polyols
403,Cords Cable
404,Raghav Product.
405,N R Agarwal Inds
406,Vimta Labs
407,Remsons Ind
408,Borana Weaves
409,AWFIS Space
410,Waaree Energies
411,Garden Reach Sh.
412,Bharat Dynamics
413,Avro India
414,TGV Sraac
415,Integra Engg.
416,GPT Infraproject
417,Sarveshwar Foods
418,EID Parry
419,Inox Wind
420,Sigma Solve
421,Pritika Auto
422,Kilitch Drugs
423,Senco Gold
424,Manaksia Coated
425,Sh. Rama Multi.
426,Astra Microwave
427,Raj Rayon Inds.
428,Manaksia Steels
429,Bharti Airtel
430,Indo Farm Equip.
431,Sharat Industrie
432,Sanofi Consumer
433,Sakar Healthcare
434,Entero Healthcar
435,PNB Gilts
436,Innovana Think.
437,One 97
438,Comfort Fincap
439,Landmark Cars
440,Real Touch Fin
441,Oswal Green Tech
442,Shankara Build.
443,Shreeoswal Seeds
444,Apar Inds.
445,Max Estates
446,Genesys Intl.
447,Belrise Industri
448,Kanishk Steel
449,Visa Steel
450,Orbit Exports
451,Adani Energy Sol
452,AVT Natural Prod
453,AGI Infra
454,Auto.Corp.of Goa
455,Sumitomo Chemi.
456,Cropster Agro
457,Baid Finserv
458,Steel Strips Inf
459,Sagility
460,Prime Focus
461,Polycab India
462,Dynamic Cables
463,Anant Raj
464,Shiva Texyarn
465,Cummins India
466,Interarch Build.
467,Sharda Cropchem
468,KEI Industries
469,KMC Speciality
470,Birla Precision
471,Cyber Media Ind
472,HLE Glascoat
473,Elecon Engg.Co
474,Cholaman.Inv.&Fn
475,DC Infotech
476,Andhra Sugars
